CaseID,ActivityID,CompleteTimestamp
1,0,2010-02-10 06:50:20
1,11,2010-03-19 06:47:06
1,9,2010-03-19 06:47:13
1,1,2010-04-03 04:47:38
2,0,2013-04-12 07:25:17
2,11,2013-04-24 07:24:01
2,7,2013-04-24 12:51:11
2,9,2013-05-15 10:21:00
2,1,2013-05-30 10:21:20
3,0,2010-01-21 06:53:28
3,0,2010-01-21 06:53:34
3,11,2010-01-21 06:53:40
3,9,2010-01-26 12:06:53
3,1,2010-03-06 07:00:57
4,0,2013-03-08 15:01:24
4,11,2013-03-25 06:08:33
4,9,2013-03-28 08:31:21
4,1,2013-04-12 06:31:36
5,0,2010-08-25 07:36:10
5,11,2010-08-27 04:34:45
5,9,2010-08-27 05:42:25
5,1,2010-09-25 07:40:32
8,0,2010-12-22 06:35:14
8,11,2010-12-22 06:49:10
8,9,2011-01-13 12:26:36
8,1,2011-02-18 06:40:43
9,0,2010-01-22 09:09:40
9,11,2010-01-22 09:09:51
9,9,2010-01-22 09:09:59
9,1,2010-03-11 09:10:33
10,0,2012-10-10 07:47:41
10,11,2012-10-25 07:23:49
10,9,2012-11-12 06:37:18
10,1,2012-11-27 06:37:28
11,0,2011-10-25 11:35:19
11,11,2011-10-26 04:19:46
11,9,2011-11-03 07:37:15
11,1,2011-12-08 13:40:25
12,0,2012-05-18 09:11:25
12,11,2012-05-18 11:23:17
12,13,2012-05-18 12:07:29
12,9,2012-05-22 04:53:06
12,1,2012-06-28 11:10:31
13,5,2010-06-18 10:47:15
13,0,2010-06-18 11:18:15
13,11,2010-06-29 04:35:47
13,9,2010-06-29 05:33:07
13,1,2010-08-05 10:50:24
14,0,2013-06-21 04:11:34
14,11,2013-06-24 07:06:24
14,7,2013-06-28 07:12:09
14,9,2013-07-17 12:38:54
14,1,2013-08-01 12:39:11
15,5,2011-09-06 12:37:27
15,0,2011-09-06 12:44:32
15,11,2011-09-06 12:44:54
15,9,2011-09-06 12:55:58
15,1,2011-10-22 12:40:25
16,0,2010-05-25 12:14:28
16,11,2010-05-28 12:38:09
16,9,2010-05-28 12:38:45
16,1,2010-06-26 12:20:26
17,0,2011-11-30 14:32:54
17,9,2011-12-12 14:50:49
17,1,2012-01-13 14:40:37
18,0,2010-12-28 08:41:06
18,11,2010-12-30 06:50:44
18,13,2010-12-30 06:51:13
18,11,2011-01-13 14:53:03
18,9,2011-01-13 14:55:17
18,1,2011-01-28 14:55:37
19,0,2012-02-10 12:44:10
19,11,2012-02-10 13:48:04
19,9,2012-02-15 09:07:17
19,1,2012-03-14 12:50:15
20,0,2011-04-13 04:43:01
20,11,2011-04-13 04:45:30
20,9,2011-04-13 11:57:33
20,1,2011-06-11 04:50:56
21,0,2012-09-07 09:24:46
21,11,2012-09-10 06:51:17
21,13,2012-09-17 06:56:36
21,9,2012-10-02 04:03:02
21,9,2012-10-02 04:03:22
21,1,2012-10-17 04:03:17
22,0,2010-09-16 06:03:22
22,11,2010-09-16 06:48:31
22,9,2010-09-21 05:24:19
22,1,2010-11-05 07:24:51
23,0,2013-02-14 13:35:55
23,11,2013-03-04 06:12:43
23,13,2013-03-04 06:33:32
23,9,2013-03-04 08:43:19
23,1,2013-03-19 08:43:39
24,0,2012-01-30 07:09:29
24,11,2012-01-30 07:09:57
24,9,2012-01-31 06:12:06
24,1,2012-03-16 07:12:11
26,0,2010-05-18 11:59:36
26,11,2010-05-19 05:08:06
26,9,2010-05-20 07:17:39
26,1,2010-06-25 12:01:30
27,0,2012-01-05 14:55:40
27,0,2012-01-05 14:55:53
27,11,2012-01-11 09:59:45
27,9,2012-01-12 08:39:39
27,1,2012-02-07 15:00:35
28,0,2013-03-12 07:39:30
28,9,2013-03-28 11:14:48
28,9,2013-03-28 11:14:48
28,1,2013-04-12 09:15:06
29,0,2011-07-14 04:22:19
29,0,2011-07-15 07:40:41
29,11,2011-07-15 09:44:17
29,9,2011-07-18 05:33:09
29,1,2011-08-20 04:31:38
33,0,2010-12-28 06:31:42
33,11,2011-01-14 08:45:45
33,9,2011-01-14 08:46:06
33,1,2011-01-29 08:46:26
34,0,2012-05-09 06:25:28
34,11,2012-05-09 10:22:38
34,9,2012-05-09 10:40:52
34,1,2012-06-09 06:30:28
35,0,2010-06-07 04:30:54
35,0,2010-06-07 04:49:10
35,11,2010-06-07 12:16:44
35,13,2010-06-08 07:37:29
35,11,2010-06-09 04:18:05
35,2,2010-06-09 04:18:28
35,9,2010-06-16 06:23:07
35,1,2010-07-16 06:23:33
36,0,2010-02-04 07:40:52
36,0,2010-02-04 07:41:05
36,11,2010-02-04 07:41:23
